uf,codigo_municipio,municipio,taxa_aprovacao_2023,indicador_rendimento_2023,nota_matematica_2023,nota_portugues_2023,nota_media_2023,ideb_2023
RO,1100015,Alta Floresta D'Oeste,93.2,0.931733,254.11,246.21,5.005333,4.7
RO,1100023,Ariquemes,93.8,0.937832,251.95,251.99,5.065667,4.8
RO,1100031,Cabixi,99.7,0.997227,247.93,252.78,5.011833,5.0
RO,1100049,Cacoal,98.8,0.988228,247.61,249.67,4.954667,4.9
RO,1100056,Cerejeiras,96.7,0.966651,255.25,252.94,5.1365,5.0
RO,1100064,Colorado do Oeste,97.7,0.977226,256.11,256.08,5.203167,5.1
RO,1100072,Corumbiara,98.7,0.986474,266.71,267.79,5.575,5.5
RO,1100080,Costa Marques,89.5,0.896507,247.38,249.49,4.947833,4.4
RO,1100098,Espigão D'Oeste,98.7,0.986719,259.72,255.45,5.252833,5.2
RO,1100106,Guajará-Mirim,98.7,0.987728,240.1,241.88,4.699667,4.6
RO,1100114,Jaru,97.4,0.973711,241.73,241.92,4.7275,4.6
RO,1100122,Ji-Paraná,97.0,0.970189,247.3,247.6,4.915,4.8
RO,1100130,Machadinho D'Oeste,92.2,0.921066,233.93,226.11,4.334,4.0
RO,1100148,Nova Brasilândia D'Oeste,100.0,1.0,273.46,269.93,5.723167,5.7
RO,1100155,Ouro Preto do Oeste,96.7,0.966932,260.37,262.17,5.375667,5.2
RO,1100189,Pimenta Bueno,89.6,0.896169,257.85,250.97,5.147,4.6
RO,1100205,Porto Velho,93.8,0.938465,241.66,250.76,4.873667,4.6
RO,1100254,Presidente Médici,97.7,0.97694,264.55,256.28,5.347167,5.2
RO,1100262,Rio Crespo,96.2,0.960222,231.3,233.73,4.417167,4.2
RO,1100288,Rolim de Moura,98.8,0.987496,254.81,254.82,5.1605,5.1
RO,1100296,Santa Luzia D'Oeste,95.7,0.952663,257.5,249.87,5.122833,4.9
RO,1100304,Vilhena,95.4,0.954474,253.85,257.31,5.186,4.9
RO,1100320,São Miguel do Guaporé,99.4,0.99395,257.68,254.03,5.195167,5.2
RO,1100338,Nova Mamoré,93.9,0.938684,236.53,236.49,4.550333,4.3
RO,1100346,Alvorada D'Oeste,97.0,0.969563,242.9,241.53,4.7405,4.6
RO,1100379,Alto Alegre dos Parecis,89.0,0.888118,267.38,266.45,5.563833,4.9
RO,1100403,Alto Paraíso,94.0,0.940171,251.81,246.35,4.969333,4.7
RO,1100452,Buritis,96.8,0.967206,243.03,241.95,4.749667,4.6
RO,1100502,Novo Horizonte do Oeste,99.2,0.992443,253.31,245.39,4.978333,4.9
RO,1100601,Cacaulândia,97.1,0.970875,232.56,235.53,4.468167,4.3
RO,1100700,Campo Novo de Rondônia,90.1,0.904202,251.18,244.76,4.932333,4.5
RO,1100809,Candeias do Jamari,87.0,0.874775,239.33,245.06,4.739833,4.1
RO,1100908,Castanheiras,90.6,0.901303,233.51,232.02,4.4255,4.0
RO,1100924,Chupinguaia,96.1,0.960545,229.88,234.7,4.409667,4.2
RO,1100940,Cujubim,91.6,0.916929,235.67,233.73,4.49,4.1
RO,1101005,Governador Jorge Teixeira,93.0,0.926124,242.95,242.91,4.764333,4.4
RO,1101104,Itapuã do Oeste,95.3,0.954457,228.61,219.41,4.133667,3.9
RO,1101203,Ministro Andreazza,96.6,0.966032,256.57,253.14,5.161833,5.0
RO,1101302,Mirante da Serra,96.5,0.96478,247.14,249.3,4.940667,4.8
RO,1101401,Monte Negro,97.2,0.971422,241.46,233.52,4.583,4.5
RO,1101435,Nova União,89.8,0.897913,248.04,236.72,4.746,4.3
RO,1101450,Parecis,89.1,0.889719,244.29,250.78,4.917833,4.4
RO,1101468,Pimenteiras do Oeste,98.9,0.989133,223.11,228.11,4.187,4.1
RO,1101476,Primavera de Rondônia,100.0,1.0,243.38,255.81,4.9865,5.0
RO,1101484,São Felipe D'Oeste,96.5,0.966089,243.63,221.5,4.418833,4.3
RO,1101492,São Francisco do Guaporé,98.3,0.982991,253.55,247.21,5.012667,4.9
RO,1101500,Seringueiras,99.9,0.998241,253.14,249.58,5.045333,5.0
RO,1101559,Teixeirópolis,93.6,0.934062,243.93,250.04,4.8995,4.6
RO,1101609,Theobroma,98.5,0.984391,243.79,251.54,4.922167,4.8
RO,1101708,Urupá,96.6,0.963405,240.74,251.02,4.862667,4.7
RO,1101757,Vale do Anari,99.8,0.998493,238.98,234.01,4.549833,4.5
RO,1101807,Vale do Paraíso,99.2,0.991541,236.23,236.65,4.548,4.5
AC,1200013,Acrelândia,90.3,0.902561,251.2,256.04,5.120667,4.6
AC,1200054,Assis Brasil,72.6,0.714329,237.59,236.08,4.561167,3.3
AC,1200104,Brasiléia,95.9,0.959265,263.44,267.92,5.522667,5.3
AC,1200138,Bujari,85.4,0.854607,225.58,231.37,4.2825,3.7
AC,1200179,Capixaba,87.0,0.871056,235.87,237.58,4.5575,4.0
AC,1200203,Cruzeiro do Sul,95.6,0.955364,249.28,255.24,5.075333,4.8
AC,1200252,Epitaciolândia,94.9,0.950572,260.57,266.21,5.446333,5.2
AC,1200302,Feijó,89.7,0.89524,249.37,255.92,5.088167,4.6
AC,1200328,Jordão,94.7,0.946796,247.36,250.02,4.956333,4.7
AC,1200336,Mâncio Lima,93.4,0.933427,233.59,241.94,4.592167,4.3
AC,1200344,Manoel Urbano,95.8,0.957268,237.29,242.2,4.658167,4.5
